Node: Region, Dystopia Residual, None, None, None, pie, 2.498310553789607 Score: 1.486363823168189e+61 Less Than: 1064
Node: Region, Economy (GDP per Capita), group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, group, avg, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, group, sum, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, group, cnt, None, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, None, None, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Happiness Rank, Happiness Score, None, None, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Happiness Rank, Happiness Score, None, None, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Happiness Score, Happiness Rank, None, None, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Happiness Score, Happiness Rank, None, None, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Country, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Country, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Region, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Region, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Rank, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Happiness Score, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Economy (GDP per Capita), group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Family, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Health (Life Expectancy), group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Freedom, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Trust (Government Corruption), group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Generosity, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, avg, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, avg, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, sum, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, sum, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, cnt, orderX, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Time, Dystopia Residual, group, cnt, orderY, line, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Time, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Country, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Score, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Economy (GDP per Capita), group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Family, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Health (Life Expectancy), group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Freedom, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Trust (Government Corruption), group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Generosity, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, group, avg, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, group, sum, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Dystopia Residual, group, cnt, orderY, bar, 1.0 Score: 4.317687213269976e+55 Less Than: 879
Node: Region, Happiness Rank, group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Happiness Score, group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Economy (GDP per Capita), group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Family, group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Health (Life Expectancy), group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Freedom, group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Trust (Government Corruption), group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Generosity, group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Dystopia Residual, group, sum, None, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Happiness Rank, group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Happiness Score, group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Economy (GDP per Capita), group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Family, group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Health (Life Expectancy), group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Freedom, group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Trust (Government Corruption), group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Generosity, group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Region, Dystopia Residual, group, sum, orderY, pie, 0.9999999999999999 Score: 2.272466954352619e+54 Less Than: 861
Node: Happiness Rank, Happiness Score, None, None, None, scatter, 0.9878468985812072 Score: 3.2463813633608874e+53 Less Than: 855
Node: Happiness Score, Happiness Rank, None, None, None, scatter, 0.9878468985812072 Score: 3.2463813633608874e+53 Less Than: 855
Node: Happiness Rank, Happiness Score, None, None, orderX, scatter, 0.9878468985812072 Score: 3.2463813633608874e+53 Less Than: 855
Node: Happiness Rank, Happiness Score, None, None, orderY, scatter, 0.9878468985812072 Score: 3.2463813633608874e+53 Less Than: 855
Node: Happiness Score, Happiness Rank, None, None, orderX, scatter, 0.9878468985812072 Score: 3.2463813633608874e+53 Less Than: 855
Node: Happiness Score, Happiness Rank, None, None, orderY, scatter, 0.9878468985812072 Score: 3.2463813633608874e+53 Less Than: 855
Node: Region, Time, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Country, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Happiness Rank, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Happiness Score, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Economy (GDP per Capita), group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Family, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Health (Life Expectancy), group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Freedom, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Trust (Government Corruption), group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Generosity, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Dystopia Residual, group, cnt, None, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Time, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Country, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Happiness Rank, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Happiness Score, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Economy (GDP per Capita), group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Family, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Health (Life Expectancy), group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Freedom, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Trust (Government Corruption), group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Generosity, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Region, Dystopia Residual, group, cnt, orderY, pie, 0.9397940008672037 Score: 1.4114701579829952e+52 Less Than: 833
Node: Economy (GDP per Capita), Health (Life Expectancy), None, None, None, scatter, 0.6226831154253661 Score: 3.528675394957485e+51 Less Than: 830
Node: Economy (GDP per Capita), Health (Life Expectancy), None, None, orderX, scatter, 0.6226831154253661 Score: 3.528675394957485e+51 Less Than: 830
Node: Economy (GDP per Capita), Health (Life Expectancy), None, None, orderY, scatter, 0.6226831154253661 Score: 3.528675394957485e+51 Less Than: 830
Node: Health (Life Expectancy), Economy (GDP per Capita), None, None, None, scatter, 0.6226831154253659 Score: 8.82168848739371e+50 Less Than: 827
Node: Health (Life Expectancy), Economy (GDP per Capita), None, None, orderX, scatter, 0.6226831154253659 Score: 8.82168848739371e+50 Less Than: 827
Node: Health (Life Expectancy), Economy (GDP per Capita), None, None, orderY, scatter, 0.6226831154253659 Score: 8.82168848739371e+50 Less Than: 827
Node: Happiness Rank, Economy (GDP per Capita), None, None, None, scatter, 0.6134755328985814 Score: 1.2602412124848158e+50 Less Than: 821
Node: Economy (GDP per Capita), Happiness Rank, None, None, None, scatter, 0.6134755328985814 Score: 1.2602412124848158e+50 Less Than: 821
Node: Happiness Rank, Economy (GDP per Capita), None, None, orderX, scatter, 0.6134755328985814 Score: 1.2602412124848158e+50 Less Than: 821
Node: Happiness Rank, Economy (GDP per Capita), None, None, orderY, scatter, 0.6134755328985814 Score: 1.2602412124848158e+50 Less Than: 821
Node: Economy (GDP per Capita), Happiness Rank, None, None, orderX, scatter, 0.6134755328985814 Score: 1.2602412124848158e+50 Less Than: 821
Node: Economy (GDP per Capita), Happiness Rank, None, None, orderY, scatter, 0.6134755328985814 Score: 1.2602412124848158e+50 Less Than: 821
Node: Happiness Score, Economy (GDP per Capita), None, None, None, scatter, 0.6071075954593906 Score: 1.8003445892640236e+49 Less Than: 815
Node: Economy (GDP per Capita), Happiness Score, None, None, None, scatter, 0.6071075954593906 Score: 1.8003445892640236e+49 Less Than: 815
Node: Happiness Score, Economy (GDP per Capita), None, None, orderX, scatter, 0.6071075954593906 Score: 1.8003445892640236e+49 Less Than: 815
Node: Happiness Score, Economy (GDP per Capita), None, None, orderY, scatter, 0.6071075954593906 Score: 1.8003445892640236e+49 Less Than: 815
Node: Economy (GDP per Capita), Happiness Score, None, None, orderX, scatter, 0.6071075954593906 Score: 1.8003445892640236e+49 Less Than: 815
Node: Economy (GDP per Capita), Happiness Score, None, None, orderY, scatter, 0.6071075954593906 Score: 1.8003445892640236e+49 Less Than: 815
Node: Happiness Rank, Health (Life Expectancy), None, None, None, scatter, 0.54935094178661 Score: 2.5719208418057495e+48 Less Than: 809
